date,hamon 2017,macron 2017,fillon 2017,le pen 2017,mélenchon 2017,query,time
"Apr 3, 2017","7.44761904761905","24.0952380952381","26.2857142857143","14.0190476190476","20.152380952381","age","120"
"Apr 4, 2017","10.1751152073733","25.0138248847926","20.3502304147465","18.2304147465438","18.2304147465438","age","120"
"Apr 5, 2017","7.62694300518135","20.4974093264249","26.2176165803109","18.1139896373057","19.5440414507772","age","120"
"Apr 6, 2017","4.66359447004608","25.8617511520737","29.2534562211982","16.110599078341","16.110599078341","age","120"
"Apr 7, 2017","6.06593406593407","28.3076923076923","27.8021978021978","13.1428571428571","16.6813186813187","age","120"
"Apr 8, 2017","6.9","17.94","23","19.32","24.84","age","120"
"Apr 9, 2017","4.68363636363636","14.3854545454545","22.4145454545455","17.3963636363636","33.12","age","120"
"Apr 10, 2017","3.70967741935484","16.3225806451613","25.2258064516129","15.2096774193548","31.5322580645161","age","120"
"Apr 11, 2017","7.2","17.6","22","19.6","25.6","age","120"
"Apr 12, 2017","6.38888888888889","20.4444444444444","22.5740740740741","14.0555555555556","28.537037037037","age","120"
"Apr 13, 2017","5.8018018018018","18.2342342342342","20.3063063063063","15.3333333333333","32.3243243243243","age","120"
"Apr 14, 2017","5.1588785046729","18.9158878504673","22.785046728972","19.7757009345794","25.3644859813084","age","120"
"Apr 15, 2017","4.95067264573991","19.390134529148","22.6905829596413","20.2152466367713","24.7533632286996","age","120"
"Apr 16, 2017","5.21333333333333","16.2533333333333","18.0933333333333","15.64","36.8","age","120"
"Apr 17, 2017","4.28493150684932","24.9534246575342","19.9123287671233","19.1561643835616","23.6931506849315","age","120"
"Apr 18, 2017","6.25242718446602","21.1391585760518","20.2459546925566","25.3074433656958","19.0550161812298","age","120"
"Apr 19, 2017","6.81481481481481","19.2053872053872","20.7542087542088","25.4006734006734","19.8249158249158","age","120"
