date,hamon retraite,macron retraite,fillon retraite,le pen retraite,mélenchon retraite,query,time
"Mar 22, 2017","6.57142857142857","42.7142857142857","16.4285714285714","13.1428571428571","13.1428571428571","age","120"
"Mar 23, 2017","7.66666666666667","38.3333333333333","20.4444444444444","12.7777777777778","12.7777777777778","age","120"
"Mar 24, 2017","2.35897435897436","25.9487179487179","47.1794871794872","4.71794871794872","11.7948717948718","age","120"
"Mar 25, 2017","4.84210526315789","36.3157894736842","41.1578947368421","4.84210526315789","4.84210526315789","age","120"
"Mar 26, 2017","6","26","34","12","14","age","120"
"Mar 27, 2017","6.9","32.2","29.9","13.8","9.2","age","120"
"Mar 28, 2017","6.3448275862069","25.3793103448276","34.8965517241379","15.8620689655172","9.51724137931035","age","120"
"Mar 29, 2017","5.57575757575758","44.6060606060606","19.5151515151515","11.1515151515152","11.1515151515152","age","120"
"Mar 30, 2017","5.57575757575758","36.2424242424242","27.8787878787879","11.1515151515152","11.1515151515152","age","120"
"Mar 31, 2017","3.28571428571429","32.8571428571429","26.2857142857143","16.4285714285714","13.1428571428571","age","120"
"Apr 1, 2017","5.41176470588235","35.1764705882353","24.3529411764706","18.9411764705882","8.11764705882353","age","120"
"Apr 2, 2017","3.28571428571429","36.1428571428571","23","9.85714285714286","19.7142857142857","age","120"
"Apr 3, 2017","9.43589743589744","25.9487179487179","28.3076923076923","18.8717948717949","9.43589743589744","age","120"
"Apr 4, 2017","9.2","36.8","20.7","13.8","11.5","age","120"
"Apr 5, 2017","4.6","34.5","18.4","18.4","16.1","age","120"
"Apr 6, 2017","4.08888888888889","34.7555555555556","16.3555555555556","18.4","18.4","age","120"
"Apr 7, 2017","7.26315789473684","41.1578947368421","19.3684210526316","7.26315789473684","16.9473684210526","age","120"
"Apr 8, 2017","7.66666666666667","34.5","19.1666666666667","15.3333333333333","15.3333333333333","age","120"
"Apr 9, 2017","3.28571428571429","29.5714285714286","23","6.57142857142857","29.5714285714286","age","120"
"Apr 10, 2017","4.48780487804878","24.6829268292683","13.4634146341463","24.6829268292683","24.6829268292683","age","120"
"Apr 11, 2017","4.48780487804878","35.9024390243902","17.9512195121951","11.219512195122","22.4390243902439","age","120"
"Apr 12, 2017","4.48780487804878","33.6585365853659","17.9512195121951","6.73170731707317","29.1707317073171","age","120"
"Apr 13, 2017","7.45945945945946","27.3513513513514","22.3783783783784","12.4324324324324","22.3783783783784","age","120"
"Apr 14, 2017","5.25714285714286","36.8","28.9142857142857","13.1428571428571","7.88571428571429","age","120"
"Apr 15, 2017","7.07692307692308","35.3846153846154","18.8717948717949","9.43589743589744","21.2307692307692","age","120"
"Apr 16, 2017","7.07692307692308","25.9487179487179","23.5897435897436","7.07692307692308","28.3076923076923","age","120"
"Apr 17, 2017","2.92063492063492","51.1111111111111","14.6031746031746","8.76190476190476","14.6031746031746","age","120"
"Apr 18, 2017","5.52","40.48","22.08","7.36","16.56","age","120"
"Apr 19, 2017","4","38","26","8","16","age","120"
