date,hamon TOTAL,macron TOTAL,fillon TOTAL,le pen TOTAL,mélenchon TOTAL,query,time
"Feb 21, 2017","6.81688866672254","14.56154147107","26.4099210338149","30.8603342156571","13.3513146127355","age","120"
"Feb 22, 2017","5.35290547024318","25.4349143811401","13.6350217416916","34.6642613656336","12.9128970412915","age","120"
"Feb 23, 2017","6.81000182900064","25.4306511106776","12.0658904658939","30.2169762013147","17.4764803931132","age","120"
"Feb 24, 2017","5.89305286104816","26.7921135197161","13.4839621207659","28.4246039718341","17.4062675266358","age","120"
"Feb 25, 2017","8.56619425973392","23.3408149822841","16.4820203173047","29.2804814420559","14.3304889986214","age","120"
"Feb 26, 2017","7.67179748241179","24.5087924913096","14.0907921428881","31.2834346092545","14.4451832741361","age","120"
"Feb 27, 2017","5.76846594971704","23.7961465190745","12.4195997067024","35.9739941211846","14.0417937033214","age","120"
"Feb 28, 2017","6.04027965785888","20.1083318480559","12.3509878776516","36.2154362959442","17.2849643204894","age","120"
"Mar 1, 2017","5.05524994056148","22.5610021445799","30.6618958234897","22.9507464023374","10.7711056890315","age","120"
"Mar 2, 2017","5.57909540770206","35.3327009925186","19.4164436514728","23.7262719918324","7.94548795647413","age","120"
"Mar 3, 2017","5.52118987080331","27.2133769888849","27.0277360026594","24.5949194207328","7.64277771691945","age","120"
"Mar 4, 2017","4.77133470668574","21.4069524610984","26.791163246365","26.3770824206795","12.6534671651713","age","120"
"Mar 5, 2017","8.52692948417813","18.6564070177686","41.1940086903153","15.0070049542929","8.615649853445","age","120"
"Mar 6, 2017","8.50074812572921","18.6580667762935","31.9083271468043","26.6296043705665","6.30325358060653","age","120"
"Mar 7, 2017","6.98688103644498","24.9309700455402","26.648383440165","23.0610721796575","10.3726932981922","age","120"
"Mar 8, 2017","10.9373157981053","26.2529782410046","19.4202668147405","24.4902788548841","10.8991602912656","age","120"
"Mar 9, 2017","11.9967781995751","29.8949904614605","16.7733882130281","25.9361963818758","7.39864674406061","age","120"
"Mar 10, 2017","18.3161451143985","23.2246635406187","15.3611629141167","22.9733881904204","12.1246402404457","age","120"
"Mar 11, 2017","6.95696888144488","28.630918218831","15.2125460984863","31.4300664530966","9.76950034814117","age","120"
"Mar 12, 2017","7.34731166377897","23.8463924199171","20.7349737658091","28.0648916731213","12.0064304773736","age","120"
"Mar 13, 2017","7.10740816423828","23.6577342220564","26.3824975317587","25.9556290474293","8.89673103451728","age","120"
"Mar 14, 2017","5.63876573060277","22.1489135811095","27.2735205838996","26.5404561542125","10.3983439501756","age","120"
"Mar 15, 2017","4.21925676991036","15.2591373073399","26.3771841257135","27.8656949165119","18.2787268805243","age","120"
"Mar 16, 2017","11.4184155698862","18.9042208204747","17.1838393799694","26.7238579377898","17.7696662918799","age","120"
"Mar 17, 2017","10.8111416233705","19.7091506187193","21.2066740728413","24.0769857425484","16.1960479425206","age","120"
"Mar 18, 2017","10.9110417558719","18.9725327336128","16.1646813446664","23.946928918903","22.004815246946","age","120"
"Mar 19, 2017","12.6188424391376","20.6259906593396","13.7668365714421","25.9286586450759","19.0596716850048","age","120"
"Mar 20, 2017","8.44529906653728","20.1773841490309","13.9585374495951","32.3639442855365","17.0548350493002","age","120"
"Mar 21, 2017","7.09154820663973","25.0827524435005","11.8700624585156","23.4797819303911","24.4758549609531","age","120"
"Mar 22, 2017","5.90329103348203","21.2108464651855","16.2339608002868","23.3685809755829","25.2833207254627","age","120"
"Mar 23, 2017","6.35553829862559","20.9065833013713","25.0419741126636","22.5646356828632","17.1312686044763","age","120"
"Mar 24, 2017","4.46825666170324","15.7647091353612","35.2164211674733","22.6533053286483","13.897307706814","age","120"
"Mar 25, 2017","6.05371208786698","19.9181724805327","27.6182545495279","21.9858958574959","16.4239650245766","age","120"
"Mar 26, 2017","6.16324248434285","21.9235615597808","22.4783215648529","17.2449507739688","24.1899236170546","age","120"
"Mar 27, 2017","7.38043756184103","18.1955901584613","17.6070359451712","34.2276063470686","14.5893299874578","age","120"
"Mar 28, 2017","6.38469271219016","15.6510599983336","17.7483095304568","38.5858757521194","13.6300620069","age","120"
"Mar 29, 2017","7.16214126386735","22.3237368181175","14.0801313207816","33.0902084676041","15.3437821296294","age","120"
"Mar 30, 2017","8.81721070748347","21.237941470758","20.611928678542","24.0567419805404","17.2761771626762","age","120"
"Mar 31, 2017","9.02401130807707","20.462883078152","17.1535290904036","25.4628520342585","19.8967244891089","age","120"
"Apr 1, 2017","8.88899200753464","23.8355915800935","16.5881255701249","29.044919177984","13.642371664263","age","120"
"Apr 2, 2017","4.91584620475832","21.8405439517017","14.2710474299947","26.5291817904096","24.4433806231357","age","120"
"Apr 3, 2017","7.93928801076573","18.3855471636807","18.7035370091847","29.6823393489268","17.2892884674421","age","120"
"Apr 4, 2017","11.2256933945273","19.4790882760239","14.0082189794745","29.1681373084185","18.1188620415557","age","120"
"Apr 5, 2017","8.04790007448728","18.7594341554278","18.0887553482285","25.7578224824183","21.346087939438","age","120"
"Apr 6, 2017","6.4413951244996","26.3763853449607","21.068204074208","17.3314516909182","20.7825637654135","age","120"
"Apr 7, 2017","7.1851333935303","26.601009807885","19.9597234853451","15.7545894215384","22.4995438917011","age","120"
"Apr 8, 2017","4.93688896442476","19.2131254658628","13.6542995464293","24.0464185977444","30.1492674255388","age","120"
"Apr 9, 2017","5.43478557501297","15.2421309140633","15.3913102700501","16.2097632929153","39.7220099479583","age","120"
"Apr 10, 2017","5.29074586669382","14.9838962933743","15.635198921984","24.1720068063402","31.9181521116077","age","120"
"Apr 11, 2017","7.12013168517019","18.5230620712913","15.2060233395845","21.7068232818677","29.4439596220863","age","120"
"Apr 12, 2017","6.8961623984149","17.3395769844144","12.3257269051232","15.8537989399599","39.5847347720876","age","120"
"Apr 13, 2017","5.61665350468351","16.8029031923233","13.2725357705547","20.7473248629317","35.5605826695068","age","120"
"Apr 14, 2017","4.5403233572895","15.5595740288622","15.5282188257636","22.7009494370911","33.6709343509936","age","120"
"Apr 15, 2017","5.97281972337754","18.4570053858119","13.6491607306043","22.2087111377743","31.712303022432","age","120"
"Apr 16, 2017","3.94417022164784","19.2397790515762","14.8637182829195","19.9839195538384","33.9684128900181","age","120"
"Apr 17, 2017","4.92569344755228","24.7672664109191","13.1428262435222","23.7873596591981","25.3768542388083","age","120"
"Apr 18, 2017","5.84644551104284","19.3477980895084","14.8984774592508","24.0292076987218","27.8780712414761","age","120"
"Apr 19, 2017","6.98036301430537","20.1869273144255","13.275657711298","22.451324058493","29.1057279014781","age","120"
